filing_rate_2020,filing_increase_rate_2021,filing_rate_21_based_on_deno_20,unemployment-rate,pop_over60,Total households,avg_household_size,Households with own children of the householder under 18 years,pct_Households with own children of the householder under 18 years,Households with one or more people under 18 years,Households with one or more people 60 years and over,Householder living alone,65 years and over,Owner-occupied housing units,Renter-occupied housing units,pct_White alone,pct_Black or African American alone,pct_American Indian and Alaska Native alone,pct_Asian alone,pct_Native Hawaiian and Other Pacific Islander alone,pct_Some other race alone,pct_Two or more races:,mean_income_USD,pct_fam_No_workers_in_past_12M,pct_family_household,pct_non_family_household,pct_BELOW_50_poverty_level,pct_BELOW_125_poverty_level,pct_BELOW_150_poverty_level,pct_BELOW_185_poverty_level,pct_BELOW_200_poverty_level,pct_BELOW_300_poverty_level,pct_BELOW_400_poverty_level,pct_BELOW_500_poverty_level
0.092033,0.014193,0.106226,0.058000,0.204950,143566.000000,2.050000,27034.000000,0.188304,0.222000,0.329000,0.454000,0.112000,0.441000,0.559000,0.464440,0.456632,0.002573,0.033691,0.000368,0.011293,0.031003,65863.000000,0.126000,0.451695,0.548305,0.068113,0.210954848,0.260100543,0.314242536,0.338638046,0.498673822,0.615516284,0.726360104
0.183107,0.161025,0.344132,0.069000,0.206196,237308.000000,2.680000,64866.000000,0.273341,0.310000,0.379000,0.300000,0.100000,0.534000,0.466000,0.584914,0.121355,0.009569,0.067342,0.008565,0.126422,0.081833,81840.000000,0.149000,0.625756,0.374244,0.049139,0.149922221,0.191869196,0.250947831,0.278227843,0.451524273,0.598274713,0.70446541
0.061705,-0.003257,0.058449,0.056000,0.216195,229701.000000,2.420000,55576.000000,0.241949,0.271000,0.376000,0.359000,0.125000,0.603000,0.397000,0.703185,0.030902,0.044909,0.030283,0.000855,0.097874,0.091993,72426.000000,0.150000,0.565553,0.434447,0.052460,0.163592696,0.204498568,0.258852419,0.281845614,0.43984974,0.586022416,0.699926102
0.035019,-0.015348,0.019672,0.066000,0.205966,3191691.000000,2.570000,779648.000000,0.244274,0.284000,0.389000,0.321000,0.118000,0.328000,0.672000,0.413302,0.238213,0.004402,0.142879,0.000630,0.144301,0.056272,107000.000000,0.130000,0.596120,0.403880,0.056550,0.18444942,0.226211087,0.283145961,0.307206341,0.444347035,0.557642316,0.649767953
0.093081,0.023919,0.117000,0.073000,0.180778,138696.000000,2.090000,29511.000000,0.212775,0.236000,0.297000,0.446000,0.108000,0.389000,0.611000,0.503272,0.413662,0.000677,0.021851,0.000519,0.014236,0.045783,68877.000000,0.135000,0.451405,0.548595,0.084829,0.234634551,0.276178763,0.353213647,0.377571556,0.513959877,0.628018784,0.71618643
0.043246,-0.000836,0.042409,0.124000,0.209610,174920.000000,2.120000,37278.000000,0.213115,0.252000,0.363000,0.450000,0.137000,0.419000,0.581000,0.397088,0.476210,0.004490,0.024770,0.000634,0.038625,0.058185,47716.000000,0.175000,0.470364,0.529636,0.121603,0.333791142,0.396762118,0.479617385,0.507778696,0.671994263,0.784566581,0.861065195
0.060659,0.016591,0.077250,0.054000,0.154714,362626.000000,2.390000,90390.000000,0.249265,0.278000,0.275000,0.360000,0.086000,0.449000,0.551000,0.573993,0.291766,0.002472,0.059257,0.000433,0.022792,0.049287,70667.000000,0.106000,0.528079,0.471921,0.058106,0.182850727,0.22368208,0.28439907,0.30845714,0.479270999,0.612115199,0.723590694
0.026573,-0.003075,0.023497,0.088000,0.195256,613125.000000,2.500000,138508.000000,0.225905,0.270000,0.365000,0.372000,0.121000,0.528000,0.472000,0.393307,0.413582,0.003323,0.074152,0.000372,0.072707,0.042558,72419.000000,0.159000,0.539691,0.460309,0.077870,0.2309745,0.280944581,0.346983058,0.373701261,0.532466198,0.661563382,0.747061028
0.069147,0.008146,0.077292,0.054000,0.209117,140496.000000,1.980000,21753.000000,0.154830,0.175000,0.334000,0.442000,0.132000,0.467000,0.533000,0.663655,0.229788,0.001928,0.058317,0.000564,0.009519,0.036228,73913.000000,0.139000,0.415713,0.584287,0.057032,0.160069171,0.198233058,0.256925658,0.275673732,0.419408965,0.547306784,0.656353799
0.272306,-0.051523,0.220783,0.034000,0.213119,57226.000000,2.290000,11158.000000,0.194981,0.208000,0.348000,0.358000,0.111000,0.554000,0.446000,0.738808,0.207733,0.000598,0.020833,0.001759,0.010355,0.019914,104916.000000,0.140000,0.516181,0.483819,0.032804,0.075764244,0.099224754,0.13304445,0.149158739,0.2598937,0.381360236,0.492975388
0.117859,-0.001156,0.116703,0.086000,0.194661,255756.000000,2.490000,61419.000000,0.240147,0.287000,0.358000,0.379000,0.115000,0.462000,0.538000,0.278696,0.644103,0.002042,0.017631,0.000264,0.035174,0.022091,64439.000000,0.151000,0.557801,0.442199,0.093410,0.254933023,0.306117299,0.382739501,0.4168974,0.571922249,0.690700332,0.7772762
0.015764,-0.007641,0.008123,0.044000,0.139823,395280.000000,2.390000,95570.000000,0.241778,0.264000,0.242000,0.339000,0.064000,0.455000,0.545000,0.693925,0.077865,0.007225,0.077135,0.000665,0.078231,0.064954,105709.000000,0.079000,0.518508,0.481492,0.035700,0.110023615,0.143547883,0.185966744,0.20201897,0.314857823,0.42616464,0.532494779
0.068851,0.007405,0.076257,0.049000,0.155686,524498.000000,2.520000,137523.000000,0.262199,0.299000,0.284000,0.355000,0.080000,0.413000,0.587000,0.577491,0.242988,0.003330,0.036091,0.000398,0.075965,0.063736,87999.000000,0.110000,0.562301,0.437699,0.058835,0.205271831,0.262391244,0.342784292,0.370896428,0.5336559,0.643727579,0.716047415
0.147635,0.016402,0.164037,0.057000,0.145301,307248.000000,2.850000,104415.000000,0.339839,0.382000,0.290000,0.263000,0.074000,0.570000,0.430000,0.600584,0.185387,0.005113,0.048345,0.000737,0.099150,0.060683,84769.000000,0.091000,0.672066,0.327934,0.042239,0.145986992,0.190352122,0.250088382,0.27779419,0.44276506,0.582683991,0.690170516
0.069326,0.007133,0.076458,0.062000,0.158926,874827.000000,2.610000,248361.000000,0.283897,0.321000,0.302000,0.327000,0.085000,0.429000,0.571000,0.515393,0.228314,0.003464,0.068671,0.000470,0.113482,0.070205,86249.000000,0.105000,0.602261,0.397739,0.064877,0.218173605,0.272993163,0.344761746,0.372629889,0.528572296,0.639059813,0.719010617
0.165080,-0.076509,0.088571,0.063000,0.193157,91005.000000,2.400000,15382.000000,0.169024,0.198000,0.344000,0.431000,0.128000,0.437000,0.563000,0.452047,0.461068,0.001610,0.020787,0.000122,0.022959,0.041408,80218.000000,0.131000,0.442086,0.557914,0.073548,0.180900776,0.221937761,0.263645854,0.289297077,0.442856433,0.5491897,0.639043547
0.066136,-0.006650,0.059486,0.063000,0.155819,229227.000000,2.510000,62084.000000,0.270841,0.304000,0.298000,0.374000,0.100000,0.407000,0.593000,0.420468,0.387908,0.005340,0.045985,0.000385,0.083609,0.056305,59318.000000,0.136000,0.533986,0.466014,0.080275,0.264166204,0.319907846,0.39381066,0.428147773,0.594531224,0.719322898,0.818935656
